horizon,changepoint_prior_scale,seasonality_prior_scale,changepoint_range,rmse,mae,mape,std_y,r2,rmse_std_ratio,rmse_mae,horizon_degradation,select_score
30,0.01,1.0,0.8,0.8155157522616803,0.641539691334324,0.006238679425742089,1.1207097776346795,0.5265857191795185,0.7276779131729106,1.271185186633593,1.231001790927921,0.963347215495255
30,0.01,10.0,0.8,0.8160106506187773,0.6423963566467881,0.006247130518646257,1.1207097776346795,0.5260127199199763,0.7281195068548553,1.2702603963668624,1.232230745055544,0.9641181746960455
30,0.01,0.1,0.8,0.8181580939637095,0.6445015207987658,0.006267518563463673,1.1207097776346795,0.5234941756171425,0.7300356526651154,1.2694432325772043,1.2334222724597175,0.9668576443425394
30,0.05,1.0,0.8,0.841585777791743,0.6900197739316356,0.006712662195198409,1.1207097776346795,0.49512242321699373,0.7509399798116839,1.219654580326743,1.3272847111360018,1.014478642677918
30,0.05,10.0,0.8,0.8439796583324635,0.6935189056195074,0.0067469028648652896,1.1207097776346795,0.4920770049454074,0.7530760194791283,1.2169526331492757,1.3335527189806047,1.0188443898172506
30,0.05,0.1,0.8,0.8458423480087057,0.6942252606626107,0.006753593841619928,1.1207097776346795,0.4898132754997776,0.7547380819625784,1.2183975374237788,1.3388206652856809,1.0234076969352828
30,0.1,10.0,0.8,0.8488043857811096,0.7009277305852304,0.006819740115970877,1.1207097776346795,0.4864031711330522,0.7573810835955751,1.2109727561676173,1.3405498331986432,1.025468901842593
30,0.1,1.0,0.8,0.8502677633248609,0.705883683102482,0.006868252605725907,1.1207097776346795,0.48447273791013123,0.7586868431891425,1.204543728207154,1.3461048058829894,1.0273787670597343
30,0.5,1.0,0.8,0.8541736233125833,0.7109273556269861,0.00691790713210932,1.1207097776346795,0.47991368505711973,0.7621720095236113,1.20149213073854,1.3491252045901403,1.0323023405397678
30,0.1,0.1,0.8,0.8524999492898448,0.7060450378749729,0.006870288734765586,1.1207097776346795,0.4817529541195401,0.760678604133439,1.2074299847155165,1.349959775285396,1.0323126175879493
30,0.3,0.1,0.8,0.8534620755370349,0.7084111833287514,0.00689364936008683,1.1207097776346795,0.48063074375098824,0.7615371013700927,1.2047552263739036,1.3532902742669992,1.0339037938130697
30,0.3,10.0,0.8,0.854737165134417,0.7109939757517482,0.006918941553397137,1.1207097776346795,0.4789136820481974,0.7626748531973974,1.2021721621912285,1.3579670379900017,1.0363884548086257
30,0.5,10.0,0.8,0.8559820762013645,0.7121840942543466,0.006930813413558193,1.1207097776346795,0.47737727048081524,0.7637856769733573,1.2019112517495545,1.3628193988866137,1.0395833951242397
30,0.5,0.1,0.8,0.857757551075253,0.7148546059057451,0.006956817883982466,1.1207097776346795,0.47517611696509954,0.7653699184150942,1.199904909318511,1.3633397885376601,1.041337736051545
30,0.3,1.0,0.8,0.858470195557091,0.7166778490284954,0.006975077312884125,1.1207097776346795,0.47410058005900513,0.7660058051505005,1.1978466987933345,1.367507113587996,1.043111736566002
