,code_bss,bss_id,urn_bss,date_mesure,timestamp_mesure,niveau_nappe_eau,mode_obtention,statut,qualification,code_continuite,nom_continuite,code_producteur,nom_producteur,code_nature_mesure,nom_nature_mesure,profondeur_nappe
22,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-06,957571200000,102.56,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.6
23,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-07,957657600000,102.56,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.6
24,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-08,957744000000,102.55,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.61
25,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-09,957830400000,102.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.63
26,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-10,957916800000,102.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.63
27,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-11,958003200000,102.54,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.62
28,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-12,958089600000,102.49,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.67
29,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-13,958176000000,102.46,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.7
30,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-14,958262400000,102.43,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.73
31,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-15,958348800000,102.42,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.74
32,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-16,958435200000,102.45,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.71
33,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-17,958521600000,102.47,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.69
34,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-18,958608000000,102.45,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.71
35,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-19,958694400000,102.42,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.74
36,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-20,958780800000,102.4,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.76
37,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-21,958867200000,102.4,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.76
38,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-22,958953600000,102.43,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.73
39,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-23,959040000000,102.46,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.7
40,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-24,959126400000,102.48,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.68
41,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-25,959212800000,102.5,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.66
42,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-26,959299200000,102.53,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.63
43,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-27,959385600000,102.58,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.58
44,10906X0039/C2-1,BSS002MNYD,http://services.ades.eaufrance.fr/pointeau/10906X0039/C2-1,2000-05-28,959472000000,102.61,Valeur mesurée,Donnée contrôlée niveau 1,Correcte,2,Point lié au point précédent,231,Bureau de Recherches Géologiques et Minières (231),,,4.55
